Designator,Footprint,Quantity,Value,LCSC Part #

"C1, C2, C23, C3, C7",0402,5,100nF,
"C18, C19",0402,2,20pF,
"C21, C26, C30",0402,3,1uF,
"C22, C25, C29",0603,3,4.7uF,
C24,0402,1,100pF,
"C31, C32",0402,2,15pF,
C33,0402,1,0.8pF,
C34,0402,1,0.5pF,

D87,SOT-143,1,PRTR5V0U2X,
D89,0805,1,orange,

J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
"J4, J5",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
L1,0402,1,4.7nH,

"R1, R2",0402,2,5.1K,
R10,0402,1,2K,
"R11, R12, R3",0402,3,10k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U2,SOT-23,1,MCP1700x-300xxTT,
U4,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,
U7,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,32Mhz,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
